"species","max.altitude","dev.mode","courtship.feed.m","song.dur","breed.system"
"Acrocephalus_palustris",3000,2,1,100,1
"Aix_sponsa",NA,1,NA,NA,2
"Anser_anser",NA,1,NA,NA,5
"Ardea_purpurea",NA,2,NA,NA,1
"Artemisiospiza_belli",NA,2,NA,NA,1
"Aythya_ferina",NA,1,NA,NA,2
"Bonasa_umbellus",NA,1,NA,NA,2
"Botaurus_stellaris",NA,2,NA,NA,2
"Bucanetes_githagineus",NA,NA,0,NA,NA
"Calidris_minutilla",NA,1,NA,NA,1
"Certhia_familiaris",3000,2,1,1.2,1
"Chordeiles_minor",NA,3,NA,NA,1
"Circus_pygargus",NA,2,NA,NA,5
"Clanga_clanga",NA,2,NA,NA,1
"Clangula_hyemalis",NA,1,NA,NA,2
"Clytospiza_monteiri",NA,2,NA,NA,1
"Cyanistes_caeruleus",3500,2,1,2.4,1
"Emberiza_calandra",NA,2,0,1.6,4
"Emberiza_citrinella",1800,2,0,2.1,1
"Estrilda_nonnula",NA,2,NA,NA,1
"Eudyptes_schlegeli",NA,3,NA,NA,1
"Falco_columbarius",NA,2,NA,NA,4
"Falco_naumanni",NA,2,NA,NA,5
"Falco_rupicoloides",NA,2,NA,NA,1
"Falco_tinnunculus",3500,2,1,NA,5
"Fregata_aquila",NA,2,NA,NA,1
"Galerida_cristata",2300,2,0,15,5
"Geothlypis_trichas",NA,2,NA,1.3,1
"Glaucis_hirsutus",NA,2,NA,NA,2
"Gymnorhina_tibicen",NA,2,NA,NA,4
"Haliaeetus_albicilla",NA,2,NA,NA,5
"Icterus_cucullatus",NA,2,NA,NA,1
"Icterus_gularis",NA,2,NA,NA,1
"Iduna_pallida",NA,2,0,NA,1
"Junco_hyemalis",NA,2,NA,1.4,1
"Lanius_schach",NA,2,NA,NA,1
"Larus_argentatus",2300,3,NA,NA,1
"Larus_dominicanus",NA,3,NA,NA,1
"Larus_fuscus",NA,3,NA,NA,1
"Leucosticte_arctoa",NA,2,NA,NA,1
"Limosa_fedoa",NA,1,NA,NA,1
"Loxia_curvirostra",4500,2,1,NA,5
"Lullula_arborea",2280,2,1,3.62,1
"Lyrurus_mlokosiewiczi",NA,1,NA,NA,2
"Melierax_metabates",NA,2,NA,NA,1
"Motacilla_flava",2500,2,1,NA,1
"Muscicapa_striata",1500,2,1,NA,1
"Neophron_percnopterus",NA,2,NA,NA,5
"Numenius_minutus",NA,1,NA,NA,1
"Oceanodroma_castro",NA,2,NA,NA,1
"Oceanodroma_melania",NA,2,NA,NA,1
"Oceanodroma_tethys",NA,2,NA,NA,1
"Oenanthe_oenanthe",3500,2,0,NA,5
"Oreoscoptes_montanus",NA,2,NA,NA,1
"Oriolus_oriolus",2000,2,0,NA,5
"Pachycephala_rufiventris",NA,2,NA,NA,NA
"Passer_hispaniolensis",2300,2,0,NA,1
"Passer_moabiticus",NA,NA,0,NA,NA
"Passerina_amoena",NA,2,NA,2.13,1
"Periparus_ater",2300,2,1,2.1,1
"Phalacrocorax_pelagicus",NA,2,NA,NA,1
"Phoenicurus_ochruros",2400,2,0,1.29,4
"Phylloscopus_borealis",NA,2,1,NA,1
"Plectrophenax_nivalis",2300,2,1,NA,1
"Plocepasser_mahali",NA,2,NA,NA,NA
"Pluvialis_apricaria",NA,1,NA,NA,1
"Poecile_cinctus",NA,2,1,NA,1
"Polyboroides_typus",NA,2,NA,NA,1
"Procellaria_cinerea",NA,2,NA,NA,1
"Prunella_collaris",NA,2,0,NA,4
"Pterodroma_leucoptera",NA,2,NA,NA,1
"Puffinus_huttoni",NA,2,NA,NA,1
"Pyrrhocorax_graculus",3900,2,1,NA,1
"Pyrrhula_pyrrhula",2700,2,1,NA,1
"Quiscalus_quiscula",NA,2,NA,NA,1
"Recurvirostra_americana",NA,1,NA,NA,1
"Rupicola_rupicola",NA,2,NA,NA,2
"Saxicola_caprata",NA,2,NA,NA,1
"Scotocerca_inquieta",NA,2,0,NA,1
"Serinus_pusillus",NA,2,1,NA,1
"Setophaga_americana",NA,2,NA,1.6,1
"Spheniscus_humboldti",NA,3,NA,NA,1
"Stercorarius_longicaudus",NA,3,NA,NA,1
"Sterna_forsteri",NA,3,NA,NA,1
"Sterna_repressa",NA,3,NA,NA,1
"Sturnella_magna",NA,2,NA,1.28,1
"Sturnus_vulgaris",1850,2,0,24.5,5
"Sylvia_borin",2000,2,1,3.28,1
"Sylvia_communis",2000,2,0,2.5,1
"Sylvia_nisoria",1600,2,0,6,1
"Tachycineta_thalassina",NA,2,NA,NA,5
"Treron_sphenurus",NA,2,NA,NA,1
"Tringa_stagnatilis",NA,1,NA,NA,1
"Troglodytes_aedon",NA,2,NA,1.7,5
"Troglodytes_troglodytes",3000,2,0,6.3,1
"Turdus_migratorius",NA,2,NA,1.93,1
"Tympanuchus_cupido",NA,1,NA,NA,2
"Vanellus_gregarius",NA,1,NA,NA,1
"Vanellus_senegallus",NA,1,NA,NA,1
"Xema_sabini",NA,3,NA,NA,1
