"species","genus","family","order","kingdom","phylum","class"
"palustris","Acrocephalus","Acrocephalidae","PASSERIFORMES","Animalia","Chordata","Aves"
"sponsa","Aix","Anatidae","ANSERIFORMES","Animalia","Chordata","Aves"
"anser","Anser","Anatidae","ANSERIFORMES","Animalia","Chordata","Aves"
"purpurea","Ardea","Ardeidae","PELECANIFORMES","Animalia","Chordata","Aves"
"belli","Artemisiospiza","Emberizidae","PASSERIFORMES","Animalia","Chordata","Aves"
"ferina","Aythya","Anatidae","ANSERIFORMES","Animalia","Chordata","Aves"
"umbellus","Bonasa","Phasianidae","GALLIFORMES","Animalia","Chordata","Aves"
"stellaris","Botaurus","Ardeidae","PELECANIFORMES","Animalia","Chordata","Aves"
"minutilla","Calidris","Scolopacidae","CHARADRIIFORMES","Animalia","Chordata","Aves"
"familiaris","Certhia","Certhiidae","PASSERIFORMES","Animalia","Chordata","Aves"
"minor","Chordeiles","Caprimulgidae","CAPRIMULGIFORMES","Animalia","Chordata","Aves"
"pygargus","Circus","Accipitridae","ACCIPITRIFORMES","Animalia","Chordata","Aves"
"clanga","Clanga","Accipitridae","ACCIPITRIFORMES","Animalia","Chordata","Aves"
"hyemalis","Clangula","Anatidae","ANSERIFORMES","Animalia","Chordata","Aves"
"monteiri","Clytospiza","Estrildidae","PASSERIFORMES","Animalia","Chordata","Aves"
"caeruleus","Cyanistes","Paridae","PASSERIFORMES","Animalia","Chordata","Aves"
"calandra","Emberiza","Emberizidae","PASSERIFORMES","Animalia","Chordata","Aves"
"citrinella","Emberiza","Emberizidae","PASSERIFORMES","Animalia","Chordata","Aves"
"nonnula","Estrilda","Estrildidae","PASSERIFORMES","Animalia","Chordata","Aves"
"schlegeli","Eudyptes","Spheniscidae","SPHENISCIFORMES","Animalia","Chordata","Aves"
"columbarius","Falco","Falconidae","FALCONIFORMES","Animalia","Chordata","Aves"
"naumanni","Falco","Falconidae","FALCONIFORMES","Animalia","Chordata","Aves"
"rupicoloides","Falco","Falconidae","FALCONIFORMES","Animalia","Chordata","Aves"
"tinnunculus","Falco","Falconidae","FALCONIFORMES","Animalia","Chordata","Aves"
"aquila","Fregata","Fregatidae","SULIFORMES","Animalia","Chordata","Aves"
"cristata","Galerida","Alaudidae","PASSERIFORMES","Animalia","Chordata","Aves"
"trichas","Geothlypis","Parulidae","PASSERIFORMES","Animalia","Chordata","Aves"
"hirsutus","Glaucis","Trochilidae","APODIFORMES","Animalia","Chordata","Aves"
"tibicen","Gymnorhina","Artamidae","PASSERIFORMES","Animalia","Chordata","Aves"
"albicilla","Haliaeetus","Accipitridae","ACCIPITRIFORMES","Animalia","Chordata","Aves"
"cucullatus","Icterus","Icteridae","PASSERIFORMES","Animalia","Chordata","Aves"
"gularis","Icterus","Icteridae","PASSERIFORMES","Animalia","Chordata","Aves"
"pallida","Iduna","Acrocephalidae","PASSERIFORMES","Animalia","Chordata","Aves"
"hyemalis","Junco","Emberizidae","PASSERIFORMES","Animalia","Chordata","Aves"
"schach","Lanius","Laniidae","PASSERIFORMES","Animalia","Chordata","Aves"
"argentatus","Larus","Laridae","CHARADRIIFORMES","Animalia","Chordata","Aves"
"dominicanus","Larus","Laridae","CHARADRIIFORMES","Animalia","Chordata","Aves"
"fuscus","Larus","Laridae","CHARADRIIFORMES","Animalia","Chordata","Aves"
"arctoa","Leucosticte","Fringillidae","PASSERIFORMES","Animalia","Chordata","Aves"
"fedoa","Limosa","Scolopacidae","CHARADRIIFORMES","Animalia","Chordata","Aves"
"curvirostra","Loxia","Fringillidae","PASSERIFORMES","Animalia","Chordata","Aves"
"arborea","Lullula","Alaudidae","PASSERIFORMES","Animalia","Chordata","Aves"
"mlokosiewiczi","Lyrurus","Phasianidae","GALLIFORMES","Animalia","Chordata","Aves"
"metabates","Melierax","Accipitridae","ACCIPITRIFORMES","Animalia","Chordata","Aves"
"flava","Motacilla","Motacillidae","PASSERIFORMES","Animalia","Chordata","Aves"
"striata","Muscicapa","Muscicapidae","PASSERIFORMES","Animalia","Chordata","Aves"
"percnopterus","Neophron","Accipitridae","ACCIPITRIFORMES","Animalia","Chordata","Aves"
"minutus","Numenius","Scolopacidae","CHARADRIIFORMES","Animalia","Chordata","Aves"
"castro","Oceanodroma","Hydrobatidae","PROCELLARIIFORMES","Animalia","Chordata","Aves"
"melania","Oceanodroma","Hydrobatidae","PROCELLARIIFORMES","Animalia","Chordata","Aves"
"tethys","Oceanodroma","Hydrobatidae","PROCELLARIIFORMES","Animalia","Chordata","Aves"
"oenanthe","Oenanthe","Muscicapidae","PASSERIFORMES","Animalia","Chordata","Aves"
"montanus","Oreoscoptes","Mimidae","PASSERIFORMES","Animalia","Chordata","Aves"
"oriolus","Oriolus","Oriolidae","PASSERIFORMES","Animalia","Chordata","Aves"
"hispaniolensis","Passer","Passeridae","PASSERIFORMES","Animalia","Chordata","Aves"
"amoena","Passerina","Cardinalidae","PASSERIFORMES","Animalia","Chordata","Aves"
"ater","Periparus","Paridae","PASSERIFORMES","Animalia","Chordata","Aves"
